time,y
1433194970.400,0.152
1433194970.500,0.152
1433194970.600,0.152
1433194970.700,0.153
1433194970.800,0.153
1433194970.900,0.153
1433194971.000,0.154
1433194971.100,0.154
1433194971.200,0.154
1433194971.300,0.155
1433194971.400,0.155
1433194971.500,0.156
1433194971.600,0.156
1433194971.700,0.156
1433194971.800,0.157
1433194971.900,0.157
1433194972.000,0.158
1433194972.100,0.158
1433194972.200,0.159
1433194972.300,0.159
1433194972.400,0.160
1433194972.500,0.160
1433194972.600,0.160
1433194972.700,0.161
1433194972.800,0.161
1433194972.900,0.162
1433194973.000,0.162
1433194973.100,0.163
1433194973.200,0.163
1433194973.300,0.163
1433194973.400,0.164
1433194973.500,0.164
1433194973.600,0.164
1433194973.700,0.165
1433194973.800,0.165
1433194973.900,0.166
1433194974.000,0.166
1433194974.100,0.166
1433194974.200,0.167
1433194974.300,0.167
1433194974.400,0.168
1433194974.500,0.168
1433194974.600,0.168
1433194974.700,0.169
1433194974.800,0.169
1433194974.900,0.170
1433194975.000,0.170
1433194975.100,0.170
1433194975.200,0.171
1433194975.300,0.171
1433194975.400,0.171
1433194975.500,0.171
1433194975.600,0.172
1433194975.700,0.172
1433194975.800,0.172
1433194975.900,0.173
1433194976.000,0.173
1433194976.100,0.173
1433194976.200,0.173
1433194976.300,0.173
1433194976.400,0.173
1433194976.500,0.173
1433194976.600,0.173
1433194976.700,0.174
1433194976.800,0.174
1433194976.900,0.174
1433194977.000,0.174
1433194977.100,0.174
1433194977.200,0.174
1433194977.300,0.174
1433194977.400,0.174
1433194977.500,0.174
1433194977.600,0.174
1433194977.700,0.174
1433194977.800,0.175
1433194977.900,0.175
1433194978.000,0.175
1433194978.100,0.175
1433194978.200,0.175
1433194978.300,0.175
1433194978.400,0.175
1433194978.500,0.175
1433194978.600,0.175
1433194978.700,0.175
1433194978.800,0.176
1433194978.900,0.176
1433194979.000,0.176
1433194979.100,0.176
1433194979.200,0.176
1433194979.300,0.176
1433194979.400,0.176
1433194979.500,0.176
1433194979.600,0.176
1433194979.700,0.176
1433194979.800,0.176
1433194979.900,0.176
1433194980.000,0.176
1433194980.100,0.176
1433194980.200,0.176
1433194980.300,0.176
1433194980.400,0.176
1433194980.500,0.176
1433194980.600,0.176
1433194980.700,0.176
1433194980.800,0.176
1433194980.900,0.176
1433194981.000,0.176
1433194981.100,0.173
1433194981.200,0.170
1433194981.300,0.167
1433194981.400,0.164
1433194981.500,0.161
1433194981.600,0.158
1433194981.700,0.155
1433194981.800,0.153
1433194981.900,0.150
1433194982.000,0.147
1433194982.100,0.144
1433194982.200,0.141
1433194982.300,0.138
1433194982.400,0.135
1433194982.500,0.132
1433194982.600,0.129
1433194982.700,0.126
1433194982.800,0.124
1433194982.900,0.121
1433194983.000,0.118
1433194983.100,0.118
1433194983.200,0.119
1433194983.300,0.119
1433194983.400,0.119
1433194983.500,0.119
1433194983.600,0.120
1433194983.700,0.120
