time,y
1433194945,-0.017
1433194945,-0.017
1433194945,-0.017
1433194945,-0.017
1433194945,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194946,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.017
1433194947,-0.016
1433194947,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194948,-0.016
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194949,-0.015
1433194950,-0.015
1433194950,-0.015
1433194950,-0.015
1433194950,-0.014
1433194950,-0.014
1433194950,-0.014
1433194950,-0.016
1433194950,-0.017
1433194950,-0.018
1433194950,-0.02
1433194951,-0.021
1433194951,-0.023
1433194951,-0.024
1433194951,-0.026
1433194951,-0.027
1433194951,-0.028
1433194951,-0.03
1433194951,-0.032
1433194951,-0.034
1433194951,-0.036
1433194952,-0.038
1433194952,-0.04
1433194952,-0.042
1433194952,-0.043
1433194952,-0.045
1433194952,-0.047
1433194952,-0.048
1433194952,-0.05
1433194952,-0.051
1433194952,-0.052
1433194953,-0.053
1433194953,-0.055
1433194953,-0.056
1433194953,-0.057
1433194953,-0.058
1433194953,-0.06
1433194953,-0.06
1433194953,-0.061
1433194953,-0.062
1433194953,-0.063
1433194954,-0.064
1433194954,-0.064
1433194954,-0.065
1433194954,-0.066
1433194954,-0.067
1433194954,-0.068
1433194954,-0.068
1433194954,-0.069
1433194954,-0.07
1433194954,-0.07
1433194955,-0.071
1433194955,-0.072
1433194955,-0.072
1433194955,-0.073
1433194955,-0.074
1433194955,-0.074
1433194955,-0.074
1433194955,-0.075
1433194955,-0.075
1433194955,-0.075
1433194956,-0.075
1433194956,-0.075
1433194956,-0.076
1433194956,-0.076
1433194956,-0.076
1433194956,-0.076
1433194956,-0.076
1433194956,-0.076
1433194956,-0.076
1433194956,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194957,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194958,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194959,-0.076
1433194960,-0.076
1433194960,-0.076
1433194960,-0.076
1433194960,-0.076
1433194960,-0.076
1433194960,-0.076
1433194960,-0.075
1433194960,-0.075
1433194960,-0.074
1433194960,-0.073
1433194961,-0.073
1433194961,-0.072
1433194961,-0.071
1433194961,-0.071
1433194961,-0.07
1433194961,-0.069
1433194961,-0.067
1433194961,-0.064
1433194961,-0.061
1433194961,-0.058
1433194962,-0.055
1433194962,-0.053
1433194962,-0.05
1433194962,-0.047
